City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Cidreira,BR,-30.1811,-50.2056,70.7,74,16,15.3,few clouds
171,Vinukonda,IN,16.05,79.75,67.46,93,0,0.45,clear sky
172,Severnyy,RU,50.677,36.5532,21.2,93,90,13.42,overcast clouds
173,Ahlat,TR,38.7518,42.4814,36.73,82,31,10.18,scattered clouds
174,Oistins,BB,13.0667,-59.5333,78.8,73,40,18.41,scattered clouds
175,Kyrnasivka,UA,48.5955,28.979,27.0,84,100,13.11,overcast clouds
176,Malibu,US,34.005,-118.8101,64.99,75,99,6.6,overcast clouds
177,Dukat,RU,62.55,155.55,-36.65,80,77,4.25,broken clouds
178,Mareeba,AU,-17.0,145.4333,81.0,83,65,7.0,broken clouds
179,Hualmay,PE,-11.0964,-77.6139,70.74,84,100,10.22,overcast clouds
180,Howell,US,42.6073,-83.9294,37.99,81,1,6.91,clear sky
181,Tarauaca,BR,-8.1614,-70.7656,75.07,89,99,2.15,overcast clouds
182,Shingu,JP,33.7333,135.9833,48.2,61,20,3.44,few clouds
183,Adrar,MR,20.5022,-10.0711,60.66,28,0,14.32,clear sky
184,Wajima,JP,37.4,136.9,42.8,93,75,4.61,mist
185,Finnsnes,NO,69.2296,17.9811,6.8,78,90,2.3,overcast clouds
186,Fallon,US,39.4735,-118.7774,62.6,42,40,6.91,scattered clouds
187,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,3.27,broken clouds
188,Pitangui,BR,-19.6828,-44.8903,70.14,90,100,5.64,light rain
189,Najran,SA,17.4924,44.1277,50.0,50,0,0.67,clear sky
190,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,94,75,11.5,light rain
191,Kahului,US,20.8947,-156.47,84.2,51,20,10.36,few clouds
192,Alofi,NU,-19.0595,-169.9187,86.0,70,75,12.66,light rain
193,Paita,PE,-5.0892,-81.1144,72.1,82,100,17.83,overcast clouds
194,Ambilobe,MG,-13.2,49.05,74.89,94,35,1.59,scattered clouds
195,Goderich,CA,43.7501,-81.7165,35.6,87,100,9.22,overcast clouds
196,Tromso,NO,69.6496,18.957,26.6,68,75,19.57,broken clouds
197,Grand Baie,MU,-20.0182,57.5802,75.99,83,1,1.01,clear sky
198,Lumsden,CA,50.6501,-104.8678,34.0,93,90,31.07,snow
199,Provideniya,RU,64.3833,-173.3,5.0,72,75,6.71,broken clouds
200,Ordynskoye,RU,54.3656,81.8994,-19.28,87,98,8.19,overcast clouds
201,Narsaq,GL,60.9167,-46.05,30.2,80,90,4.61,light snow
202,Clyde River,CA,70.4692,-68.5914,-9.4,92,40,12.66,scattered clouds
203,Kijang,KR,35.2442,129.2139,33.8,80,0,3.44,clear sky
204,Vila Do Maio,CV,15.1333,-23.2167,69.8,73,75,21.85,broken clouds
205,Aklavik,CA,68.2191,-135.0107,-16.6,76,100,4.09,overcast clouds
206,Forssa,FI,60.8146,23.6215,14.0,87,100,5.01,overcast clouds
207,Balykshi,KZ,47.0667,51.8667,23.0,68,0,26.84,clear sky
208,Bayir,TR,37.2687,28.2167,46.4,93,75,9.22,moderate rain
209,Santarem,BR,-2.4431,-54.7083,80.6,83,20,9.22,few clouds
210,Port-Gentil,GA,-0.7193,8.7815,78.82,77,95,5.73,overcast clouds
211,Edson,CA,53.5835,-116.4356,33.8,64,75,17.27,broken clouds
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.3,86,0,13.13,clear sky
213,Eganville,CA,45.5334,-77.0994,33.01,93,90,6.91,overcast clouds
214,Nikolskoye,RU,59.7035,30.7861,6.8,78,0,11.18,light snow
215,Piltene,LV,57.2243,21.6744,30.2,100,90,9.22,overcast clouds
216,Ribeira Grande,PT,38.5167,-28.7,62.06,85,100,18.86,overcast clouds
217,Cabedelo,BR,-6.9811,-34.8339,78.8,83,20,4.61,few clouds
218,Witbank,ZA,-25.8713,29.2332,62.92,86,73,5.84,broken clouds
219,Lazaro Cardenas,MX,17.9583,-102.2,77.47,64,100,5.12,overcast clouds
220,Catia La Mar,VE,10.6038,-67.0303,78.8,73,40,6.91,scattered clouds
221,Tiksi,RU,71.6872,128.8694,-31.25,82,100,3.0,overcast clouds
222,Srednekolymsk,RU,67.45,153.6833,-20.96,87,100,6.67,light snow
223,Hvolsvollur,IS,63.7533,-20.2243,37.0,98,100,5.01,overcast clouds
224,Shelburne,CA,44.0787,-80.2041,34.0,93,90,2.3,overcast clouds
225,Chokurdakh,RU,70.6333,147.9167,-29.43,85,100,6.02,overcast clouds
226,Ixtapa,MX,20.7,-105.2,69.8,78,90,3.44,overcast clouds
227,Urumqi,CN,43.801,87.6005,10.4,79,69,4.47,broken clouds
228,Pahrump,US,36.2083,-115.9839,57.99,18,36,1.99,scattered clouds
229,Kayerkan,RU,69.3497,87.7602,-33.79,83,66,10.42,broken clouds
