City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
389,Fray Bentos,UY,73.99,clear sky,-33.1325,-58.2956,Gran Hotel Fray Bentos
396,Buala,SB,85.86,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
397,Hanmer Springs,NZ,79.3,few clouds,-42.5167,172.8167,The Chalets Motel
401,Trairi,BR,78.96,overcast clouds,-3.2778,-39.2689,janelas do mar
403,Sabang,ID,80.83,overcast clouds,5.8933,95.3214,Hotel Citra
404,Tual,ID,84.24,light rain,-5.6667,132.75,Grand Vilia Hotel
405,Dingle,PH,80.1,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
410,Puerto Escondido,MX,77.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
412,Kunnamangalam,IN,73.4,mist,11.3046,75.8777,Hotel Monad
415,Anori,BR,75.96,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
417,Jubasan,PH,79.36,heavy intensity rain,12.4844,124.2872,"Town Center, Ocean Front View! Free Breakfast!"
420,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
421,Mattru,SL,74.12,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
423,Tumut,AU,86.0,clear sky,-35.3,148.2167,Amaroo Motel
426,Caravelas,BR,74.98,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
429,Moerai,PF,79.7,clear sky,-22.4333,-151.3333,Le Manotel
435,Chicama,PE,72.23,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
438,Felipe Carrillo Puerto,MX,70.56,light rain,19.5833,-88.05,Hotel La Ceiba
439,Palu,ID,81.82,light rain,-0.8917,119.8707,Hotel Santika Palu
440,Koumac,NC,83.91,moderate rain,-20.5667,164.2833,Le Monitel
441,Bandarbeyla,SO,73.53,overcast clouds,9.4942,50.8122,JABIR HOTEL
444,Formosa,AR,82.4,few clouds,-26.1775,-58.1781,Asterión Hotel
448,Ballina,AU,80.6,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
450,Gigmoto,PH,79.47,overcast clouds,13.7796,124.39,Cj's Travellers Inn
451,Juquitiba,BR,73.4,mist,-23.9317,-47.0683,Hotel Juquiti
457,Mackay,AU,84.99,overcast clouds,-21.15,149.2,International Lodge Motel
461,Mendoza,AR,86.0,scattered clouds,-32.8908,-68.8272,Hotel Mendoza
462,Kiunga,PG,82.85,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
464,Celestun,MX,72.01,overcast clouds,20.8667,-90.4,Posada Lilia
469,Biak,ID,83.71,scattered clouds,-0.9131,122.8766,Penginapan Kim
471,Neiafu,TO,86.0,few clouds,-18.65,-173.9833,Mystic Sands
472,Torit,SS,79.88,clear sky,4.4133,32.5678,Diplomat Guest House
473,Kudahuvadhoo,MV,81.79,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
475,Paragominas,BR,73.17,moderate rain,-2.9667,-47.4833,.
476,Kimbe,PG,84.18,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
479,Cruzeiro Do Sul,BR,71.01,scattered clouds,-29.5128,-51.9853,Estrela Palace Hotel
483,Mathathane,BW,75.09,clear sky,-22.2687,28.7495,Selepswe Resort
486,Sambava,MG,76.64,clear sky,-14.2667,50.1667,Melrose
488,Acarau,BR,78.67,overcast clouds,-2.8856,-40.12,castelo pizzaria
491,Vila Velha,BR,78.8,light rain,-20.3297,-40.2925,Hotel Vitória Palace
493,Kati,ML,73.4,clear sky,12.7441,-8.0726,samassa la
499,Itarema,BR,78.64,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
502,Dondo,MZ,76.37,moderate rain,-19.6094,34.7431,Arco Iris
505,Acapulco,MX,82.4,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
508,Nabire,ID,83.39,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
511,Pontianak,ID,77.0,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
515,Urucara,BR,75.63,overcast clouds,-2.5364,-57.76,Hotel japa
517,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
519,Gualeguaychu,AR,73.99,clear sky,-33.0094,-58.5172,Hotel Los Angeles
523,Acajutla,SV,80.6,clear sky,13.5928,-89.8275,asi es
527,Borbon,PH,80.6,overcast clouds,10.838,124.0297,Beachita
528,Kulhudhuffushi,MV,79.81,moderate rain,6.6221,73.07,Haajy Guest House 1
530,Lorengau,PG,85.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
535,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
536,Palauig,PH,80.4,clear sky,15.435,119.9045,Myhousebythesea
537,Pauini,BR,75.56,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
539,Coahuayana,MX,75.2,broken clouds,18.7333,-103.6833,Hotel Los Arcos
543,Balikpapan,ID,78.8,light rain,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
545,Kishi,NG,70.95,clear sky,9.0833,3.85,AMARC GUEST HOUSE
550,Daru,PG,86.61,light rain,-9.0763,143.2092,Daru Lodge
553,Makasar,ID,80.6,light rain,-5.14,119.4221,Aryaduta Makassar
557,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
562,Fare,PF,81.52,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
566,Taua,BR,75.54,overcast clouds,-5.9667,-40.3,FAZENDA IPARANA - Maria Luiza Uchôa Castelo
567,Bambanglipuro,ID,81.12,overcast clouds,-7.95,110.2833,Puri Brata
568,Murupara,NZ,89.01,clear sky,-38.4667,176.7,Murupara Motor Camp
569,Corn Island,NI,79.99,overcast clouds,12.1694,-83.0418,Big Fish Guest House
578,Antsohihy,MG,75.65,light rain,-14.8796,47.9875,Hotel de Ville
581,Tiarei,PF,89.6,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
583,Salaga,GH,79.12,clear sky,8.5508,-0.5188,Bore Nada Guest House
589,Honiara,SB,86.36,moderate rain,-9.4333,159.95,Heritage Park Hotel
